Id;Name;Slug;Begginer;Description;Source;Tags
53;Жим штанги с груди стоя или сидя;gim_shtangi_s_grydi;"
Для мужчин: 10 - 15 повторений по 20 - 25 кг. 3 - 4 подхода.
Для женщин: 10 - 15 повторений по 8 - 12 кг. 3 - 4 подхода.

";"

Можно выполнять так же стоя и сидя с опорой. Считается основным упражнением для развития мышц плечей. Сильно прогибаться не стоит. Могут возникнуть травмы спины. В отличие от жима из за головы передняя дельта работает сильнее.


Сидя всё-таки удобнее делать с гантелями, так как из-за лавки вы не можете подавать голову назад в начале выжимания штанги.



Основные фишки


1. Жим штанги с груди является самым главным упражнением для развития плечевого пояса. Я считаю, что лучше это упражнение делать стоя. Однако, если есть проблемы со спиной, то тогда нужно делать сидя с опорой на спинку скамьи.


2. При выполнении стоя следите за тем, чтобы таз был всегда немного оттопырен. То есть выводите его немного за пятки. Такое положение позволит исключить излишний прогиб в пояснице. Если же сильно прогибаться и подавать таз вперёд, то можно легко травмировать поясничный отдел спины.


3. Штангу необходимо жать по такой траектории, чтобы в верхней точке гриф был над головой, или слегка сзади. Но не спереди.


4. При опускании желательно касаться грифом верхней части груди. Внизу пауза не нужна. Как только коснулись груди – сразу жмите.


5. Локти должны быть немного выведены вперёд (в нижней точке) таким образом, чтобы быть немного впереди грифа. То есть предплечья должны быть направлены по вектору движения снаряда.


6. Жать нужно максимально по прямой траектории. А чтобы не обводить голову, просто подавайте её немного назад.

";https://tvoytrener.com/www/yprajnenia/gim_shtangi_s_grydi.html;Плечи,Передняя дельта
54;Махи гантелями в стороны;mahi_v_storoni;"
Для мужчин: 10 - 15 повторений по 4 - 8 кг (каждая гантеля). 2 - 3 подхода.
Для женщин: 10 - 15 повторений по 2 - 4 кг (каждая гантеля). 2 - 3 подхода.

";"

Классическое упражнение для накачки средних дельт. Большие веса здесь делать не нужно. Локти немного согнуты и ""смотрят"" назад и немного вверх. В верхней точке можно делать паузу. После того, как вы уже освоили технику, можно взять веса побольше и делать более ""грязно"" (читингуя). Это поможет сделать ваши плечи ещё шире.



Основные фишки


1. Гантели лучше опускать не по бокам туловища, а выводить перед собой. Так вы сможете сильнее растянуть плечи.


2. Большие веса можно делать с читингом. То есть помогать себе ногами и спиной. Но это оправдано только с теми весами, которые чисто вы уже сделать не можете. Благодаря читингу вы сможете взять гантели потяжелее и сделать ваши плечи сильнее.


3. Руки необходимо немного сгибать в локтях. Однако не делайте это слишком сильно. Это снизит амплитуду движения и КПД упражнения.


4. Следите за тем, чтобы делать махи чётко в стороны. То есть не выносите руки вперёд. Так делать легче, но это переносит нагрузку со средних дельт на передние.


5. Не опускайте локти. Они должны смотреть назад, а не вниз. В верхней точке локти должны быть на одном уровне с кистями.


6. Поднимать гантели нужно до уровня плеч, или чуть выше. Но не сильно выше. Иначе в работу будут включаться трапеции.


7. Не горбитесь. Во время всего движения спина должна быть прямая, а плечи расправлены.

";https://tvoytrener.com/www/yprajnenia/mahi_v_storoni.html;Плечи,Средняя дельта
55;Жим штанги из-за головы;gim_shtangi_iz_za_golovi;"
Для мужчин: 10 - 15 повторений по 15 - 20 кг. 2 - 3 подхода.
Для женщин: 10 - 15 повторений по 7 - 10 кг. 2 - 3 подхода.

";"


Можно выполнять как сидя, так и стоя. Если у вас проблемы с подвижностью плечевого пояса, то лучше это упражнение выполнять в машине смита. Штангу опускать до середины шеи. Полностью на плечи класть не надо.


Из-за того, что штанга опускается за голову и хват, как правило, шире плеч, в работу включается не только передняя дельта, но и средняя.


Основные фишки


1. Штанга должна быть всегда на весу. То есть нежелательно ставить её на плечи в нижней точке. Достаточно опускать штангу до середины шеи. Первое повторение (когда штанга всё-таки лежит на плечах), лучше помочь себе ногами (вытолкнуть штангу).


2. Для комфортного выполнения этого упражнения ваш плечевой пояс должен обладать определённой гибкостью. Поэтому, если вам неудобно делать жим из-за головы, или появляются боли в плечах, то лучше откажитесь от этого упражнения.


3. Ширина хвата играет довольно большое значение. Хват должен быть шире, чем при жиме стоя с груди. Стандартный вариант: предплечья в нижней точке параллельны друг другу. То есть направлены строго вертикально.


4. Довольно удобно выполнять это упражнение в машине смита. Как стоя, так и сидя. Жим сидя лучше делать с опорой на спинку.


5. Я не считаю это упражнение базовым. Так как оно не предназначено для больших весов. Поэтому, вес нужно подбирать такой, чтобы вы могли сделать как минимум 8 повторений.


";https://tvoytrener.com/www/yprajnenia/gim_shtangi_iz_za_golovi.html;Передняя дельта,Средняя дельта
56;Жим гантелей сидя / стоя;jim_gantelei_stoia;"
Для мужчин: 10 - 15 повторений по 7 - 10 кг (каждая гантеля). 2 - 3 подхода.
Для женщин: 10 - 15 повторений по 3 - 5 кг (каждая гантеля). 2 - 3 подхода.

";"


Как и любое упражнение с гантелями, его делать труднее чем со штангой. Поэтому, потренируйтесь для начала со штангой. Плюс в том, что гантели можно разворачивать, как внизу, так и вверху. Еще хороший вариант - жать гантели попеременно.


При жиме гантелей чуть больше работает средняя дельта, так как гантели внизу располагаются (при правильной технике) сбоку от головы.


Основные фишки


1. Если внизу руки разворачивать ладонями друг к другу, то нагрузка будет больше ложиться на переднюю дельту.


2. Паузу можно делать вверху, но не нужно делать внизу. Как только опустили вниз – сразу жмём. Это связано с тем, что все мышцы рефлекторно в ответ на растяжение стремятся сильнее сократиться. Если будете делать паузу внизу, то этот эффект исчезнет.


3. Опускать желательно достаточно низко. Так, чтобы края гантелей касались плеч. А выжимать нужно до конца. Помните, чем больше амплитуда, тем больше КПД.


4. Жим сидя с опорой на спинку скамьи желательно делать тем, у кого проблемы с позвоночником. Конечно, осевую нагрузку это со спины не снимет, но, по крайней мере, зафиксирует вашу спину в неподвижном положении.


5. Жим попеременно каждой рукой хорошо подходит для новичков. Так делать технически проще. Однако при больших весах такой вариант не очень удобен.


6. Как вариант можно вместо гантелей брать гири. Тогда гири внизу можно класть себе на грудь (как делают гиревики). Это увеличит амплитуду и заставит ваши плечи сильнее работать.

";https://tvoytrener.com/www/yprajnenia/jim_gantelei_stoia.html;Передняя дельта,Средняя дельта
57;Протяжка с гантелями;protiajka_ganteli;"
Для мужчин: 10 - 15 повторений по 7 - 10 кг (каждая гантеля). 2 - 3 подхода.
Для женщин: 10 - 15 повторений по 3 - 5 кг (каждая гантеля). 2 - 3 подхода.

";"

Удобнее это упражнение выполнять со штангой. Но, если её нет, то вполне подойдут и гантели.


Основные фишки



1. Протяжка с гантелями хорошо подходит для домашних тренировок. Так как гантели дома есть у большего количества людей, чем штанга.


2. Главное, это не гантели поднять как можно выше, а локти. Чем выше локти по отношению к гантелям, тем лучше работает передняя дельта.


3. Советую гантели держать довольно узко. Так чтобы они касались друг друга. Ну, или расстояние между ними было минимальным. Как бы вы широко не разводили гантели, у вас всё равно в верхней части будут включаться трапеции. Но в этом нет ничего плохого.


4. Старайтесь не помогать себе корпусом или ногами. Разве что это можно сделать при последних повторениях. Да и вес берите такой, чтобы могли сделать хотя бы 8 – 10 повторений.


5. Мой личный опыт и мои наблюдения показали мне, что протяжка не является таким уж эффективным упражнением. Поэтому, в своей тренерской практике я её использую довольно редко.

";https://tvoytrener.com/www/yprajnenia/protiajka_ganteli.html;Плечи,Передняя дельта
58;Махи гантелями вперёд;mahi_vpered;"
Для мужчин: 10 - 15 повторений по 6 - 10 кг (каждая гантеля). 2 - 3 подхода.
Для женщин: 10 - 15 повторений по 3 - 5 кг (каждая гантеля). 2 - 3 подхода.

";"


Старайтесь не раскачиваться. Руки в локтях немного согнуты. поднимать руки не выше, чем показано на картинке. Хорошо использовать его уже после того, как вы нагрузили ваши плечи. Допустим - сделали жим стоя или сидя.


Основные фишки


1. Можно делать как попеременно, так и одновременно двумя руками. При попеременном варианте можно взять немного больший вес. Однако увеличивается вероятность того, что тело начнёт раскачиваться. Снижая, таким образом, эффективность упражнения. Я лично делаю попеременно.



2. Если развернуть кисти ладонями вовнутрь (супинация), то нагрузка больше ляжет на внутреннюю часть передней дельты. И на всю переднюю дельту в целом.



3. Ещё один вариант: поворачивать кисти ладонями вверх в верхней точке движения. Тогда нагрузка ещё больше сконцентрируется на внутренней части передней дельты.



4. Во время всего движения рука в локте должна быть немного согнута. Но только совсем немного. Излишнее сгибание снизит эффективность упражнения.



5. Поднимать гантели нужно до одного уровня с плечами, или чуть выше. Мне лично больше нравится второй вариант.



6. При использовании тяжёлых весов можно помогать себе туловищем. То есть раскачиваться немного. Но такой вариант больше подходит достаточно опытным атлетам. Если они хотят увеличить свою силу за счёт более тяжёлых гантелей, которые в обычной «чистой» манере они уже не смогут поднять.

";https://tvoytrener.com/www/yprajnenia/mahi_vpered.html;Плечи,Передняя дельта
59;Махи гантелями в наклоне;mahi_v_naklone;"
Для мужчин: 10 - 15 повторений по 3 - 5 кг (каждая гантеля). 2 - 3 подхода.
Для женщин: 10 - 15 повторений по 2 - 3 кг (каждая гантеля). 2 - 3 подхода.

";"

В верхней точке руки немного согнуты в локтях. локти ""смотрят"" в потолок. Дергать спиной не нужно, большой вес брать - тоже. спина прогнутая. Поднимать гантели до уровня плечей. В последнее время почти не использую это упражнение в своей тренерской практике. На мой взгляд - оно не очень эффективное.


Основные фишки


1. Можно делать как одной, так и двумя руками. Как сидя, так и стоя. Однако наклон должен быть близок к параллели относительно плоскости пола. А сидя такой наклон не получится сделать. А чем меньше наклон туловища, тем больше нагрузки переносится на среднюю дельту.


2. Руки нужно держать немного согнутыми в локтях во время всего движения. При этом в идеале локти должны смотреть вверх, а не назад. При таком положении максимально включается задняя дельта. Однако на практике такого добиться довольно трудно. Зависит это во многом от гибкости в плечевых суставах.


3. Старайтесь не помогать себе спиной. То есть не сводите лопатки вместе. Для этого поднимайте руки примерно так, чтобы локти были на одной высоте с плечами. Можно немного ниже. Но не выше.


4. Спина должна быть прямой. Не нужно сутулиться, а также раскачиваться спиной. Помните, нужно поднимать вес силой мышц, а не по инерции.


5. Ноги в коленях немного согните. Это поможет прогнуть спину и держать её прямой.


6. Старайтесь сохранять первоначальный наклон спины во время всего подхода.


7. Некоторые для удобства упираются лбом в мягкую спинку. Можете попробовать.


";https://tvoytrener.com/www/yprajnenia/mahi_v_naklone.html;Плечи,Задняя дельта
60;Махи штангой перед собой;mahi_shtangoi;"
Для мужчин: 10 - 15 повторений по 15 - 20 кг. 2 - 3 подхода.
Для женщин: 10 - 15 повторений по 7 - 10 кг. 2 - 3 подхода.

";"


Локти слегка сгибайте. Можно так же браться хватом снизу, тогда больше нагрузки будет приходиться на внутреннюю часть передней дельты. Штангу лучше поднимать до уровня плечей, или чуть выше. Используйте это упражнение только как дополнительное, уже после того,как вы сделали базовые упражнения для плечей.



Основные фишки


1. Это упражнение можно также делать с диском. Плюс в том, что при повороте кистей ладонями друг к другу нагрузка смещается на внутреннюю часть передней дельты (та часть, что ближе к груди).


2. А если взяться за штангу ладонями вверх, то нагрузка ещё сильнее сместится внутрь передней дельты.


3. Руки должны быть немного согнуты в локтях. Это защитит их (локти) от травмы.


4. Ещё как вариант можно делать это упражнение с нижнего блока в кроссовере. Разница в том, что со штангой нагрузка на мышцы минимальная внизу и максимальная вверху. А в кроссовере она одинаковая по всей амплитуде.


5. Поднимать руки лучше до уровня чуть выше плеч. А опускать – до конца вниз.


6. Старайтесь не раскачиваться туловищем. Сами понимаете, что снаряд нужно поднимать силой мышц, а не инерцией тела.


7. Вес берите такой, чтобы могли сделать правильно минимум 8 повторений.


8. Ширина хвата должна быть чуть уже плеч. Чем уже хват, тем сильнее сокращаются передние дельты.

";https://tvoytrener.com/www/yprajnenia/mahi_shtangoi.html;Плечи,Передняя дельта
61;Жим сидя вверх в тренажёре;jim_vverh;"
Для мужчин: 10 - 15 повторений по 5 - 10 кг (на каждую руку). 2 - 3 подхода.
Для женщин: 10 - 15 повторений по 0 - 5 кг (на каждую руку). 2 - 3 подхода.

";"

Хорошая альтернатива жиму штанги стоя, для тех, кто испытывает проблемы со спиной. А также подходящее для новичков и в конце тренировки на ""добивание"". Локти должны быть направленны по вектору движения (слегка вперёд).


Основные фишки


1. Качественный тренажёр имеет рукоятку для подачи веса. Ведь поднимать ручки с крайнего нижнего положения очень неудобно. Кроме этого, желательно чтобы было разное положение ручек. Которое имитирует поворот кисти во время аналогичного упражнения с гантелями.


2. Выжимать желательно до конца. Внизу паузу делать не нужно. Опустили вниз и сразу пружинящим движением выжимаем вес.


3. Грудь должна быть расправлена, лопатки сведены вместе, а плечи убраны назад.


4. Это упражнение не является базовым. Несмотря на то, что оно имитирует базовые упражнения.


5. Таз и лопатки должны быть прижаты к спинке. В спине небольшой прогиб.


6. Подбирайте такой вес, чтобы вы могли сделать как минимум 6 – 8 повторений.


7. Работать лучше в полной амплитуде и опускать пониже. Если, конечно, у вас нет травм плеча.

";https://tvoytrener.com/www/yprajnenia/jim_vverh.html;Плечи,Передняя дельта
62;Махи руками вперёд с нижнего блока;mahi_vpered3;"
Для мужчин: 10 - 15 повторений по 15 - 20 кг. 2 - 3 подхода.
Для женщин: 10 - 15 повторений по 5 - 10 кг. 2 - 3 подхода.

";"

Можно делать как одной рукой, так и двумя. Как хватом сверху (на картинке), так и хватом снизу. Руки в локтях чуть - чуть сгибайте. Вообще, хорошее и простое упражнение как для новичков, так и для более опытных.


Основные фишки


1. Основное отличие этого упражнения от аналогов со штангой или гантелями в том, что здесь нагрузка на мышцы равномерная по всей амплитуде движения. А в случае со свободными весами она минимальная внизу и максимальная вверху движения.


2. Можно использовать разные рукояти для разного хвата. Ведь чем больше кисти повёрнуты вовнутрь, тем больше нагрузка смещается на внутреннюю часть передней дельты.


3. Старайтесь не горбиться. Спина должна быть ровная, а плечи отведены назад.


4. Во время всего движения руки в локте должна быть немного согнуты. Но только совсем немного. Излишнее сгибание укоротит амплитуду и снизит эффективность упражнения. Локти при этом смотрят в стороны.


5. Поднимать руки нужно до одного уровня с плечами, или чуть выше. Мне лично больше нравится второй вариант.


6. При использовании тяжёлых весов можно помогать себе туловищем. То есть раскачиваться немного. Но такой вариант больше подходит достаточно опытным атлетам. Если они хотят увеличить свою силу за счёт более тяжёлого веса, который в обычной «чистой» манере они уже не смогут поднять.


7. Можно выполнять также в начале одной рукой, а потом другой.

";https://tvoytrener.com/www/yprajnenia/mahi_vpered3.html;Плечи,Передняя дельта
63;Махи гантели в сторону лёжа;mahi_leja;"
Для мужчин: 10 - 15 повторений по 4 - 8 кг. 2 - 3 подхода.
Для женщин: 10 - 15 повторений по 2 - 4 кг. 2 - 3 подхода.

";"



Упражнение для любителей поизвращаться. Неудобное и довольно опасное. Но если охота поделать - вперед! Только сильно не разгоняйтесь. Плечо можно травмировать. Использовать это упражнение только в качестве вспомогательного, после того, как вы сделали базовые упражнения на плечи.


Основные фишки


1. Не нужно поднимать руку до перпендикулярного положения по отношению к полу (90 градусов). В верхней точке рука должна быть примерно 60 градусов. Это при условии, что вы лежите полностью горизонтально. А если выше – нагрузка с плеча будет резко уходить.


2. Рука должна быть немного согнута в локте. А локоть должен смотреть строго назад. А не вверх или вниз. При такой технике вы должны чувствовать именно среднюю дельту.


3. Можно так же лечь под углом 30 – 40 градусов. В этом случае руку нужно поднимать чуть выше параллели. Примерно на 20 – 30 градусов.

";https://tvoytrener.com/www/yprajnenia/mahi_leja.html;Плечи,Средняя дельта
64;Махи рукой в сторону с нижнего блока;mahi_v_krossovere;"
Для мужчин: 10 - 15 повторений по 5 - 10 кг. 2 - 3 подхода.
Для женщин: 10 - 15 повторений по 0 - 5 кг. 2 - 3 подхода.

";"

Хорошее, не слишком сложное упражнение. Рука немного согнута в локте. Локоть в верхней точке направлен назад и немного вверх. Плечо старайтесь не поднимать.


Основные фишки


1. Очень важно держать туловище неподвижно. Грудь должна быть развёрнута, а лопатки сведены вместе. Кисть нужно поднимать до одного уровня с плечом или немного выше.


2. Основная ошибка многих в том, что локоть у них опущен во время выполнения движение. Между тем, в верхней точке локоть должен быть на одном уровне с кистью и смотреть назад. А не вниз.


3. Рука в локте должна быть всё время немного согнута. Это защитит ваш локоть от травм и поможет лучше включить в работу среднюю дельту.


4. Но если будете сгибать руку слишком сильно, то амплитуда будет укорачиваться. А это значительно снизит КПД упражнения.


5. Как вариант, можно делать стоя с одной гантелью. В таком случае нагрузка на плечи будет неравномерная. В нижней точке – минимальная. А в верхней – максимальная. А в случае с кроссовером нагрузка одинаковая по всей амплитуде.


";https://tvoytrener.com/www/yprajnenia/mahi_v_krossovere.html;Плечи,Средняя дельта
65;Махи руками в стороны в тренажёре;mahi_v_storoni_trenager;"
Для мужчин: 10 - 15 повторений по 5 - 10 кг. 2 - 3 подхода.
Для женщин: 10 - 15 повторений по 0 - 5 кг. 2 - 3 подхода.

";"

Тренажёр несколько ограничивает движение, поэтому не злоупотребляйте им. А лучше делать аналогичное упражнение с гантелями. Поднимать локти достаточно до уровня плечей, или чуть выше.



Основные фишки


1. В отличие от аналогичного упражнения с гантелями тут особо не почитингуешь. То есть исключена помощь спиной или ногами. Поэтому и большой вес взять не получится. Ставьте такой вес, чтобы могли сделать как минимум 8 повторений.


2. Высота сидения – очень важный фактор. Поэтому, всегда проверяйте: настроено ли сидение под вас.


3. Поднимать руки нужно до уровня плеч, или чуть выше. Если сильно задирать их (руки) вверх, то будет работать уже трапеция.


4. Я считаю, что эффективность этого упражнения раза в 1.5 ниже, чем с гантелями. Поэтому, если так хотите включить его в свой тренировочный план, то делайте его уже после основных упражнений на плечи.


5. Следите за тем, чтобы не горбиться. Спина должна быть ровной, а плечи отведены назад.


";https://tvoytrener.com/www/yprajnenia/mahi_v_storoni_trenager.html;Плечи,Средняя дельта
66;Махи руками назад в кроссовере;mahi_nazad;"
Для мужчин: 10 - 15 повторений по 5 - 10 кг. 2 - 3 подхода.
Для женщин: 10 - 15 повторений по 0 - 5 кг. 2 - 3 подхода.

";"

Руки в локтях немного лучше согнуть. Чем меньше будете дергать лопатками, тем луше. Упражнение не основное и большие веса на него грузить не надо. Решающую роль играет техническая сторона.


Основные фишки


1. Следите, чтобы руки всегда были немного согнуты в локтях. Если будете полностью выпрямлять руки в конце движения, то будет работать трицепс.


2. Так же не опускайте руки вниз. Кисти всегда должны быть на уровне глаз. И в начале движения и в конце. Тоже касается и локтей. Они должны смотреть строго назад.


3. Не запрокидывайте голову назад и старайтесь не сводить лопатки вместе, чтобы не включать в работы верхнюю часть спины (тем мышцы, которые находятся между лопатками).


4. Начало движения может быть быстрым и взрывным. Но делайте так только при больших весах.


5. Нет смысла брать вес, который вы не сможете правильно сделать хотя бы 8 повторений.


6. Руки желательно сводить вместе. Это сильнее растянет вашу заднюю дельту. Можно так же попробовать делать внахлёст (заводить руку одну под другую). Но тогда на каждом повторении лучше менять руки (одна сверху, другая снизу).


7. Не разводите руки полностью в стороны. Иначе в работу уже будет включаться спина.


";https://tvoytrener.com/www/yprajnenia/mahi_nazad.html;Плечи,Задняя дельта
67;Махи руками с нижнего блока в наклоне;mahi_v_krossovere2;"
Для мужчин: 10 - 15 повторений по 5 - 10 кг. 2 - 3 подхода.
Для женщин: 10 - 15 повторений по 0 - 5 кг. 2 - 3 подхода.

";"

Руки в локтях немного лучше согнуть. Чем меньше будете дергать лопатками, тем лучше. Спина должна оставаться на месте. Локти в верхней точке ""смотрят"" в потолок.


Основные фишки


1. Можно делать как одной, так и двумя руками. Как сидя, так и стоя. Однако наклон должен быть близок к параллели относительно плоскости пола. А сидя такой наклон не получится сделать.


2. Руки нужно держать немного согнутыми в локтях во время всего движения. При этом в идеале локти должны смотреть вверх, а не назад. При таком положении максимально включается задняя дельта.


3. Старайтесь не сводить вместе лопатки, чтобы выключить спину из работы. Для этого поднимайте руки примерно так, чтобы локти оказались на одной высоте с плечами. Но не выше.


4. Спина должна быть прямой. Не нужно сутулиться, а также раскачиваться спиной. Помните, нужно поднимать вес силой мышц, а не по инерции.


5. Ноги в коленях немного согните. Это поможет прогнуть спину и держать её прямой.


6. Старайтесь сохранять первоначальный наклон спины во время всего подхода.

";https://tvoytrener.com/www/yprajnenia/mahi_v_krossovere2.html;Плечи,Задняя дельта
68;Разведение рук назад в тренажёре;pazvedenie_ryk_nazad_trenajer;"
Для мужчин: 10 - 15 повторений по 10 - 20 кг. 2 - 3 подхода.
Для женщин: 10 - 15 повторений по 5 - 10 кг. 2 - 3 подхода.

";"

Может выполняться как в специальном тренажере, так и в тренажере ""бабочка"". Суть та же, что и у предыдущего упражнения. Локти старайтесь держать как можно выше.


Основные фишки


1. Руки в локтях всё время должны быть слегка согнуты. Это нужно для того, чтобы максимально включить в работу заднюю дельту.


2. Сидение должно быть поставлено так, чтобы кисти были примерно на одном уровне с плечами. Можно чуть-чуть выше.


3. Разводить руки нужно до того момента, когда локти станут на одном уровне с плечами. Сильнее разводить руки и убирать локти дальше спины я смысла не вижу. Так как начинают сводиться лопатки и работают уже мышцы спины.


4. Вес должен быть такой, чтобы могли сделать хотя бы 8 – 10 повторений. Упражнение довольно безопасное, однако, большие веса здесь ни к чему.


5. Лучше чтобы на тренажёре были специальные ручки для этого упражнения. То есть такие ручки, при захвате которых кисти обращены ладонями вниз. Тогда локти будут смотреть в стороны. Такое положение оптимально для работы задней дельты.


6. Спина должна быть прямая, а плечи немного отведены назад.

";https://tvoytrener.com/www/yprajnenia/pazvedenie_ryk_nazad_trenajer.html;Плечи,Задняя дельта
69;Жим Арнольда;jim_arnolda;"
Для мужчин: 10 - 15 повторений по 7 - 9 кг (каждая гантеля). 2 - 3 подхода.
Для женщин: 10 - 15 повторений по 3 - 5 кг (каждая гантеля). 2 - 3 подхода.

";"


Упражнение является модификацией обычного жима гантелей стоя или сидя. Основное отличие в том, что из-за разворота кистей и выноса рук вперёд – передняя дельта грузится больше. А при выжимании вверх не по прямой, а по дуге – средняя дельта тоже получает больше нагрузки, чем при обычном жиме гантелями.


Упражнение можно делать как сидя так и стоя. При варианте сидя вы можете давить спиной на спинку, это позволит сделать больше повторений или взять больше вес. То есть – так проще. Вообще же в жиме арнольда веса обычно составляют 60% - 70% от обычного жима гантелями.


Основные фишки


1. Более простой вариант – жим по прямой вверх. Так траектория короче и меньше грузится средняя дельта. Если делать по дуге, то так сложнее, но и средней дельте больше достаётся.


2. Чем сильнее вы будете выносить руки вперёд, тем больше нагрузки получит передняя дельта.


3. Не обязательно вверху руки разворачивать ладонями вперёд. Можно и ладонями друг к другу.


4. Я бы не рекомендовал это упражнение как базовое. А вот в конце тренировки на плечи жим арнольда придётся очень кстати.


5. 
Если делать жим арнольда сидя под углом примерно 60 градусов, то небольшую нагрузку будет получать и верх грудных мышц.


6. В общем, если хотите попробовать что-то новенькое, то, я думаю, что это упражнение вам понравится. Только не надо работать на нём с большими весами. Оно для этого не создано. Поставьте его в конец тренировки и возьмите такой вес, чтобы могли сделать правильно 10-12 повторений.


7. Кстати, я не думаю, что именно Арнольд Шварценеггер придумал это упражнение. Скорее всего, он его популяризировал. Насколько я знаю, что-то подобное делали и до него.

";https://tvoytrener.com/www/yprajnenia/jim_arnolda.html;Плечи,Передняя дельта
70;Махи гантелями в стороны лёжа;mahi_leja2;"
Для мужчин: 10 - 15 повторений по 3 - 5 кг (каждая гантеля). 2 - 3 подхода.
Для женщин: 10 - 15 повторений по 2 - 3 кг (каждая гантеля). 2 - 3 подхода.

";"

Это упражнение является аналогом махов гантелями в стороны в наклоне. С той лишь большой существенной разницей, что здесь не нужно следить за спиной и её наклоном. Лавка всё сделает за вас. Поэтому с технической стороны – оно очень лёгкое. Несмотря на то, что оно на заднюю дельту – верх спины здесь тоже работает, так как сделать так, чтобы лопатки были полностью неподвижны – не получится.


Основные фишки


1. Чтобы задняя дельта работала по максимуму – нужно в верхней точке разворачивать руки ладонями назад. Локти при этом должны смотреть по возможности вверх. Конечно, на 100% так сделать не получится, они всё равно будут смотреть вверх и назад, но к этому нужно стремиться.


2. В нижней точке руки полностью выпрямляем. Плечи должны максимально растянуться.


3. Угол наклона лавки – небольшой: 20 – 30 градусов. Если сделать больше – то уже будут средние пучки дельт работать.


4. Это упражнение хорошо подойдёт как в конце тренировки на плечи, так и в конце тренировки на спину. так как задняя дельта, хоть и называется дельта, но по функциям и месту расположения она ближе к спине.


";https://tvoytrener.com/www/yprajnenia/mahi_leja2.html;Плечи,Задняя дельта
